metric, avg 
Recall@1_all, 0.7823168531216167 
Recall@1_animals, 0.9064449064449065 
Recall@1_bodyparts, 0.6536964980544747 
Recall@1_clothing, 0.82 
Recall@1_instruments, 0.7905405405405406 
Recall@1_other, 0.6591470951792336 
Recall@1_people, 0.8458961474036851 
Recall@1_scene, 0.7480569948186528 
Recall@1_vehicles, 0.8612565445026178 
Recall@5_all, 0.9239263803680982 
Recall@5_animals, 0.9708939708939709 
Recall@5_bodyparts, 0.8482490272373541 
Recall@5_clothing, 0.9368888888888889 
Recall@5_instruments, 0.9797297297297297 
Recall@5_other, 0.8566131025957973 
Recall@5_people, 0.966499162479062 
Recall@5_scene, 0.8911917098445595 
Recall@5_vehicles, 0.9581151832460733 
Recall@10_all, 0.9446409238542043 
Recall@10_animals, 0.9792099792099792 
Recall@10_bodyparts, 0.877431906614786 
Recall@10_clothing, 0.9511111111111111 
Recall@10_instruments, 0.9864864864864865 
Recall@10_other, 0.8967861557478368 
Recall@10_people, 0.9793411501954216 
Recall@10_scene, 0.9158031088082902 
Recall@10_vehicles, 0.9659685863874345 
Upper_bound_all, 0.956910862504511 
Upper_bound_animals, 0.9854469854469855 
Upper_bound_bodyparts, 0.9124513618677043 
Upper_bound_clothing, 0.956 
Upper_bound_instruments, 0.9864864864864865 
Upper_bound_other, 0.9211990111248455 
Upper_bound_people, 0.9877163595756561 
Upper_bound_scene, 0.9242227979274611 
Upper_bound_vehicles, 0.9738219895287958 
